date,state,route,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,available_seats,price
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0354,Ordinary Non AC Seater 2+3,21:27,06h 15m,03:42,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LNI0017,Rajdhani Non AC Seater 2+3,21:31,05h 29m,03:00,3.3,51,INR 418
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0139,Janrath AC Seater 2+2,21:31,05h 59m,03:30,3.1,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0121,Shatabdi AC Seater 2+2,22:01,05h 00m,03:01,3.2,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0163,Ordinary Non AC Seater 2+3,22:09,07h 16m,05:25,3.3,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0008,Shatabdi AC Seater 2+2,22:30,06h 15m,04:45,2.8,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0080,Shatabdi AC Seater 2+2,22:31,06h 15m,04:46,0,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - HDD0005,Janrath AC Seater 2+2,22:45,06h 45m,05:30,3.3,36,INR 602
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0028,Shatabdi AC Seater 2+2,22:45,06h 15m,05:00,3.9,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LKM0022,Shatabdi AC Seater 2+2,23:00,05h 47m,04:47,3.3,40,INR 604
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0296,Ordinary Non AC Seater 2+3,23:13,07h 18m,06:31,0,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0356,Ordinary Non AC Seater 2+3,23:18,06h 45m,06:03,0,52,INR 448
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - KSB0012,Volvo AC Seater 2+2,23:25,05h 30m,04:55,4.7,39,INR 844
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0050,Shatabdi AC Seater 2+2,23:30,05h 30m,05:00,2.5,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - AWD0224,Shatabdi AC Seater 2+2,23:30,05h 30m,05:00,3.3,32,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - STD0144,Ordinary Non AC Seater 2+3,23:36,06h 40m,06:16,3.3,52,INR 418
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - BLY0105,Shatabdi AC Seater 2+2,23:51,04h 54m,04:45,3.0,37,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - RKD0126,Shatabdi AC Seater 2+2,23:58,05h 02m,05:00,2.4,36,INR 598
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,UPSRTC - LKM0028,Shatabdi AC Seater 2+2,23:59,06h 02m,06:01,3.3,34,INR 604
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,06h 20m,23:20,3.1,31,INR 649
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:30,06h 30m,06:00,2.4,1,INR 600
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,06h 06m,06:05,3.6,31,INR 799
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira TPT,AC Sleeper (2+1),23:15,05h 45m,05:00,3.9,26,INR 1000
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Vijay Tour and Travels,Bharat Benz A/C Sleeper (2+1),19:00,06h 10m,01:10,3.3,26,INR 799
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,New Khaira Transport,A/C Seater / Sleeper (2+2),23:50,07h 00m,06:50,2.3,28,INR 700
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,SHRI RAM TRAVELS,A/C Seater (2+2),10:00,05h 30m,15:30,2.7,19,INR 740
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Jaiswal Holidays,A/C Sleeper (2+1),22:40,05h 50m,04:30,2.9,1,INR 1800
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),22:15,05h 45m,04:00,2.7,45,INR 700
23 Jul,Uttar Pradesh,Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Jaiswal Tour and Travels,A/C Sleeper (2+1),22:50,05h 45m,04:35,2.7,30,INR 800
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ORI0035,Ordinary Non AC Seater 2+3,02:15,03h 46m,06:01,3.3,52,INR 255
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ORI0122,Ordinary Non AC Seater 2+3,02:15,03h 45m,06:00,3.3,52,INR 255
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - FTP0023,Rajdhani Non AC Seater 2+3,02:45,03h 45m,06:30,3.3,51,INR 252
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0082,Ordinary Non AC Seater 2+3,04:28,03h 24m,07:52,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0005,Janrath AC Seater 2+3,05:30,02h 30m,08:00,4.2,40,INR 263
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0173,Janrath AC Seater 2+2,05:59,03h 01m,09:00,3.3,33,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0172,Janrath AC Seater 2+2,06:59,03h 00m,09:59,3.3,31,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0086,Ordinary Non AC Seater 2+3,07:13,03h 20m,10:33,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0104,Ordinary Non AC Seater 2+3,07:30,03h 20m,10:50,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0112,Ordinary Non AC Seater 2+3,07:59,03h 21m,11:20,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0008,Janrath AC Seater 2+2,08:00,03h 00m,11:00,3.4,27,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0056,Ordinary Non AC Seater 2+3,08:20,02h 55m,11:15,3.3,51,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0052,Ordinary Non AC Seater 2+3,08:39,03h 01m,11:40,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0053,Ordinary Non AC Seater 2+3,09:10,03h 00m,12:10,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0054,Ordinary Non AC Seater 2+3,09:40,03h 00m,12:40,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0055,Ordinary Non AC Seater 2+3,09:55,03h 00m,12:55,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0090,Ordinary Non AC Seater 2+3,09:58,03h 20m,13:18,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0094,Ordinary Non AC Seater 2+3,10:28,03h 20m,13:48,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0026,Ordinary Non AC Seater 2+3,10:45,03h 00m,13:45,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0106,Ordinary Non AC Seater 2+3,11:05,03h 20m,14:25,3.3,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0084,Ordinary Non AC Seater 2+3,12:28,03h 20m,15:48,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0007,Janrath AC Seater 2+3,12:30,03h 00m,15:30,4.0,48,INR 263
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0098,Ordinary Non AC Seater 2+3,12:30,03h 20m,15:50,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0175,Janrath AC Seater 2+2,12:59,03h 01m,16:00,3.3,36,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0174,Janrath AC Seater 2+2,13:59,03h 00m,16:59,3.3,36,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - ALI0010,Janrath AC Seater 2+2,15:00,03h 00m,18:00,2.6,35,INR 304
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0088,Ordinary Non AC Seater 2+3,15:28,03h 20m,18:48,0,52,INR 203
23 Jul,Uttar Pradesh,Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,UPSRTC - BDV0110,Ordinary Non AC Seater 2+3,15:29,03h 48m,19:17,3.3,52,INR 203
